Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
INFRA,0.63,,₱0.540,,,₱5.15B,1.58,,,N/A (),,2M
ION,0.16,,₱0.334,,,₱584.38M,2.16,,,N/A (),,3.05M
IPM,0.64,,₱0.06,,,₱4.14B,100.33,,,N/A (),,530.77
IPO,-0.03,19.81%,₱0.74,25-Apr-23,₱0.19,₱8.04B,10.45,,,N/A (),,14.45K
IS,0.69,,,,,₱703.55M,,,,N/A (),,54.13M
JAS,0.14,,₱0.035,,,₱445.11M,50.57,,,N/A (),,2.2K
JFC,0.99,1.03%,₱6.15,27-Apr-23,₱1.07,₱249.14B,36.19,,1.12B,N/A (),,512.49K
JGS,1.34,0.82%,₱1.12,18-May-23,₱0.40,₱376.05B,43.3,,7.52B,N/A (),,1.48M
JOH,0.03,,₱0.592,,,₱1.14B,6.84,,,N/A (),,723.08
KEEPR,0.38,,₱0.231,,,₱22.92B,6.72,,14.51B,N/A (),,8.64M
KEP,1.01,,₱1.85,,,₱2.31B,4.3,,,N/A (),,17.89K
KPH,-0.08,1.37%,₱0.08,04-Jul-22,₱0.10,₱462.26M,92.29,,35.76M,N/A (),,76.92
KPPI,0.64,,₱0.000,,,₱303.6M,,,,N/A (),,3.02K
LAND,0.26,3.64%,₱0.274,17-Jun-22,₱0.029,₱1.29B,3.03,,1.5B,N/A (),,466.63K
LBC,-0.05,0.00%,-₱0.38,18-Nov-20,₱0.20,₱25.32B,,,,N/A (),,410.77
LC,0.1,,-₱0.009,,,₱6.86B,,,,N/A (),,2.44M
LFM,0.54,3.23%,-₱0.75,08-Jun-21,₱0.50,₱2.33B,,,,N/A (),,1.01K
LMG,-0.02,,-₱0.009,,,₱572.89M,,,,N/A (),,784.62
LODE,0.26,,₱0.000,,,₱1.95B,,,,N/A (),,4.51M
LOTO,0.03,5.32%,₱0.323,31-Jul-18,₱0.150,₱1.61B,5.82,,,N/A (),,23.28K
LPC,0.69,,₱-0.002,,,₱2B,,,25B,N/A (),,416.92K
LPZ,0.3,1.27%,₱1.286,20-Jun-22,₱0.050,₱17.49B,3.06,,4.54B,N/A (),,353.8K
LSC,0.39,,₱0.034,,,₱371.61M,20,,,N/A (),,24.66K
LTG,0.64,3.00%,₱2.31,03-Jun-20,₱0.28,₱111.63B,4.32,,,N/A (),,2.19M
MA,0.22,,₱0.000,,,₱3.03B,,,186.96B,N/A (),,14.41M
MAC,1.06,1.04%,₱0.236,18-Apr-23,₱0.050,₱8.91B,20.42,,1.89B,N/A (),,779.66K
MACAY,0.24,0.00%,-₱0.10,09-Sep-19,₱0.20,₱6.63B,,,,N/A (),,481.54
MAH,1.03,,₱0.011,,,₱230.82M,70.64,,,N/A (),,13.38K
MARC,0.32,,₱0.112,,,₱3.11B,8.97,,,N/A (),,851.2K
MAXS,0.65,4.05%,₱1.018,27-Mar-23,₱0.193,₱3.66B,4.68,,1.04B,N/A (),,96.4K
MB,0.33,,₱0.013,,,₱1.16B,24.23,,,N/A (),,70.31K
MBC,-0.04,0.00%,₱0.31,23-Jan-19,₱0.30,₱3.22B,21.43,,,N/A (),,567.69
MBT,0.86,5.10%,₱7.85,14-Mar-22,₱1.40,₱265.72B,7.5,,,N/A (),,2.36M
MED,0.43,,₱-0.002,,,₱502.33M,,,2.75B,N/A (),,66K
MEDIC,0.5,,₱0.070,,,₱1.62B,8.17,,2.75B,N/A (),,407.35K
MEG,0.9,3.09%,₱0.461,26-Oct-22,₱0.061,₱62.06B,4.31,,31.22B,N/A (),,38.78M
MER,0.63,5.21%,₱27.45,24-Mar-23,₱11.03,₱369.63B,11.78,0.05%,,150.08K (07/15/21),-1.48%,422.79K
MFC,0.27,6.02%,₱121.16,23-Feb-23,₱14.79,₱2.01T,8.25,,1.86B,N/A (),,38.62
MFIN,0.95,0.26%,₱0.066,22-Aug-22,₱0.005,₱565.5M,31.67,,269.28M,N/A (),,4.57K
MG,0.42,,₱-0.004,,,₱303.32M,,,2.37B,N/A (),,206.92K
MGH,,,₱0.004,,,,238.1,,,N/A (),,
MHC,0.57,,-₱0.053,,,₱208.87M,,,,N/A (),,13.23K
MJC,0.17,3.94%,₱0.766,27-Dec-22,₱0.050,₱1.93B,1.66,,,N/A (),,13.03K
MJIC,0.01,,-₱0.276,,,₱3.17B,,,,N/A (),,1.71K
MM,0.84,,₱0.005,,,₱9.19B,269.05,,7.59B,N/A (),,1.84M
MONDE,0.78,,-₱0.72,,,₱153.63B,,,17.97B,N/A (),,8.32M
MPI,0.87,2.48%,₱0.336,22-Mar-23,₱0.076,₱127.7B,13.23,,28.7B,N/A (),,35.4M
MRC,0.63,,₱0.003,,,₱2.01B,70.91,,,N/A (),,22.83M
MREIT,0.24,6.61%,-₱0.08,19-Jan-23,₱0.24,₱41.1B,,,2.8B,N/A (),,385K
MRSGI,0.43,4.29%,₱0.287,14-Apr-23,₱0.060,₱4.54B,4.89,,3.27B,N/A (),,284.31K
MVC,-0.12,1.81%,₱0.60,23-May-23,₱0.10,₱3.65B,9.15,,,N/A (),,2.13K
MWC,0.49,5.11%,₱1.97,09-Oct-19,₱0.46,₱57.62B,9.92,,2.88B,N/A (),,1M
MWIDE,0.77,,-₱0.629,,,₱6.44B,,,2.01B,N/A (),,2.37M
NI,0.15,,-₱0.245,,,₱696.9M,,,,N/A (),,40.51K
NIKL,0.64,2.73%,₱0.58,22-Mar-21,₱0.14,₱85.35B,10.69,,13.88B,N/A (),,7.87M
NOW,0.89,,₱0.006,,,₱3.05B,286.21,,1.81B,N/A (),,3.71M
NRCP,0.25,,-₱0.130,,,₱1.1B,,,,N/A (),,52.43K
NXGEN,,,-₱0.020,,,₱728.09M,,,,N/A (),,
OM,0.67,,-₱0.009,,,₱309.89M,,,,N/A (),,22.15K
OPM,0.21,5.32%,₱-0.001,19-Jul-22,₱0.001,₱1.92B,,,,N/A (),,23.34M
ORE,0.52,,₱0.152,,,₱2.25B,5.26,,,N/A (),,2.37M
OV,0.21,,₱-0.002,,,₱1.73B,,,,N/A (),,12.25M
PA,0.55,,₱-0.001,,,₱588.25M,,,,N/A (),,7.57K
PAL,0.45,,₱0.70,,,₱63.86B,8.02,,,N/A (),,30.34K
PAX,-0.1,,₱0.021,,,₱1.45B,84.91,,,N/A (),,15.38
PBB,0.33,,₱2.15,,,₱6.14B,3.48,,818.75M,N/A (),,69.63K
PBC,0.02,,₱3.66,,,₱7.01B,3.98,,,N/A (),,541.69
PCOR,0.49,2.99%,-₱0.014,15-Mar-23,₱0.100,₱31.41B,,,,N/A (),,3.51M
PCP,,,,,,,,,,N/A (),,
PERC,0.2,1.00%,₱0.82,10-Aug-22,₱0.05,₱2.63B,6.07,,,N/A (),,37.17K
PGOLD,0.48,2.65%,₱3.33,05-Jan-23,₱0.86,₱95.19B,9.76,,2.88B,N/A (),,921.09K
PHA,0.85,,₱-0.001,,,₱1.46B,,,5.71B,N/A (),,3.11M
PHC,,,₱0.035,,,,0,,,N/A (),,
PHES,0.32,,₱0.005,,,₱1.08B,70.75,,2.89B,N/A (),,176.92K
PHN,0.19,3.13%,₱3.46,20-Nov-19,₱0.40,₱5.49B,5.56,,286.33M,N/A (),,17.71K
PHR,0.4,,-₱0.159,,,₱3.5B,,,7.28B,N/A (),,3.02M
PIZZA,0.33,0.34%,₱0.52,29-Jun-22,₱0.03,₱14.65B,17.1,,1.68B,N/A (),,181.38K
PLC,0.59,10.25%,₱0.047,03-Mar-20,₱0.050,₱14.76B,10.4,,31.22B,N/A (),,4.6M
PLUS,0.42,,₱0.204,,,₱8.97B,12.62,,3.72B,N/A (),,2.32M
PMPC,0.29,4.78%,₱0.03,01-Jun-22,₱0.25,₱2.2B,168.06,,,N/A (),,4.23K
PNB,0.48,,₱8.87,,,₱28.17B,2.09,,,N/A (),,95.65K
PNC,,,,,,,,,,N/A (),,
PNX,0.22,0.00%,-₱1.59,03-Apr-19,₱0.15,₱11.39B,,,1.44B,N/A (),,71.01K
PORT,,,,,,,,,,N/A (),,
PPC,0.14,5.22%,₱0.81,23-May-23,₱0.14,₱10.18B,6.61,,1.9B,N/A (),,304.13K
PRC,0.13,1.15%,₱0.24,02-May-23,₱0.08,₱3.8B,29.54,,546.71M,N/A (),,44.62
PREIT,0.03,4.43%,,09-May-23,₱0.068,,,,3.29B,N/A (),,1.25M
PRIM,0.36,,-₱0.011,,,₱1.83B,,,,N/A (),,475.68K
PRMX,0.39,,₱0.014,,,₱5.35B,223.61,,,N/A (),,162.02K
PSB,0.21,5.45%,₱8.62,10-May-23,₱0.75,₱24.07B,6.38,,426.86M,N/A (),,952.77
PSE,0.17,6.02%,₱9.13,08-Apr-19,₱4.35,₱13.52B,18.19,,81.96M,N/A (),,1.93K
PTC,0.2,,₱0.63,,,₱115B,182.54,,,N/A (),,14.92
PTT,,,-₱0.013,,,,,,,N/A (),,
PX,0.37,,₱0.285,,,₱17.23B,10.32,,5.78B,N/A (),,4.07M
PXP,0.55,,-₱0.02,,,₱11.33B,,,,N/A (),,627.95K
RCB,0.36,4.53%,₱6.66,05-Apr-23,₱1.08,₱48.59B,3.58,,2.04B,N/A (),,67.38K
RCI,0.32,,₱0.029,,,₱996.02M,15.75,,2.24B,N/A (),,505.43K
RCR,0.33,6.61%,-₱0.50,17-May-23,₱0.10,₱58.6B,,,9.95B,N/A (),,1.22M
REG,0.29,0.98%,₱0.073,22-Nov-22,₱0.030,₱2.09B,42.21,,,N/A (),,9.8K
RFM,0.13,7.45%,₱0.258,12-Sep-22,₱0.059,₱10.78B,12.5,,3.37B,N/A (),,275.03K
RLC,1.09,3.54%,₱1.65,13-Jun-19,₱0.50,₱71.82B,8.9,,4.9B,N/A (),,8.03M
RLT,0.36,,₱0.025,,,₱1.63B,7.03,,9.1B,N/A (),,325.69K
ROCK,0.29,3.89%,₱0.376,13-Oct-22,₱0.054,₱8.38B,3.67,,,N/A (),,31.58K
ROX,0.09,,-₱0.511,,,₱1.16B,,,,N/A (),,11.68K
RRHI,0.47,3.81%,₱3.51,29-May-20,₱1.00,₱77.35B,14.98,,1.47B,N/A (),,284.04K
SBS,0.83,0.00%,₱0.067,14-Jul-22,₱0.025,₱6.2B,59.61,,,N/A (),,8.98K
SCC,0.72,6.41%,₱7.97,07-Apr-21,₱1.25,₱118.8B,3.53,,,N/A (),,2M
SECB,0.72,3.28%,₱13.51,07-Nov-22,₱1.50,₱70.98B,6.76,,,N/A (),,553.4K
SEVN,0.09,0.00%,₱3.15,30-Jul-20,₱0.30,₱64.26B,26.82,,,N/A (),,32.79K
SFI,0.24,,₱0.013,,,₱127.01M,5.04,,,N/A (),,401.23K
SGI,0.13,6.59%,₱0.235,26-Jul-22,₱0.060,₱1.66B,3.88,,,N/A (),,94.63K
SGP,0.3,9.93%,₱2.85,20-Mar-23,₱0.17,₱52.4B,3.37,,5.27B,N/A (),,1.33M
SHLPH,0.39,6.23%,₱2.53,22-Aug-22,₱1.00,₱25.88B,6.36,,,N/A (),,145.79K
